,SRANK,GRANK,OBJECTID,ELSUBID,ELCODE,SNAME,SCOMNAME,SRANK_CHGD,SRANK_RVWD,EO_TRACK,USESA,SPROT,PBSSTATUS,PBSDATE,PBSQUAL,SGCN,SGCN_COM,SENSITV_SP,ER_RULE,MOD_BY,MOD_DATE,CHG_TYPE,CHG_INFO,CHG_SRC,EXPT_DATE,Rounded_GRANK,Rounded_SRANK,temp_taxostatus,GRANK_rounded,SRANK_rounded,rank_score,resp_score,rarity_score
18,S1,G5,4871,15851,PPDRY0A030,Dryopteris campyloptera,Mountain Wood Fern,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.5
19,S1,G5,4871,15851,PPDRY0A030,Dryopteris campyloptera,Mountain Wood Fern,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.5
20,S1,G4,3034,13948,PDGEN060U0,Gentiana villosa,Striped Gentian,,,Y,,TU,PE,,,,,Y,,,,,,,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.039,0.142857142857
21,S1,G3,4865,15845,PPDRY07040,Cystopteris laurentiana,Laurentian Bladder-fern,,,Y,,TU,PE,,,,,N,,,,,,,28-Feb-22,G3,S1,in biotics,G3,S1,0.9,0.0,0.5
22,S1,G4,7309,478646,NBMUS6Z0R0,Sphagnum molle,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G4,S1,,G4,S1,0.7,0.0,
23,S1,G5,7471,478809,NBMUS6Z1T0,Sphagnum contortum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
24,S1,G5,7471,478809,NBMUS6Z1T0,Sphagnum contortum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
25,S1,G5,4057,15008,PMCYP03290,Carex bullata,Bull Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.092,0.25
26,S1,G5,4057,15008,PMCYP03290,Carex bullata,Bull Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.092,0.25
27,S1,G5,7524,478863,NBMUS0Z0M0,Brachythecium populeum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
28,S1,G5,7524,478863,NBMUS0Z0M0,Brachythecium populeum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
29,S1,G5,4047,14998,PMCYP031C0,Carex aurea,Golden-fruited Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.001,0.0909090909091
30,S1,G5,4047,14998,PMCYP031C0,Carex aurea,Golden-fruited Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.001,0.0909090909091
31,S1,G3G5,7334,478671,NBMUS6X050,Seligeria pusilla,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G4,S1,,G4,S1,0.7,0.0,
32,S1,G5,4303,15195,PMCYP090T0,Eleocharis geniculata,Capitate Spike-rush,,,Y,,PE,PE,,,,,N,,sklugman,2/25/2022 1:59:45 PM,SNAME Change; GRANK Change,Changed to broader concept.  This EST was re-parented to PMCYP090TO and name changed to E. geniculata. 1 EOR moved.,NatureServe and U22GRU01: Steve Grund,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,1.0
33,S1,G5,4303,15195,PMCYP090T0,Eleocharis geniculata,Capitate Spike-rush,,,Y,,PE,PE,,,,,N,,sklugman,2/25/2022 1:59:45 PM,SNAME Change; GRANK Change,Changed to broader concept.  This EST was re-parented to PMCYP090TO and name changed to E. geniculata. 1 EOR moved.,NatureServe and U22GRU01: Steve Grund,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,1.0
34,S1,G5,4099,15053,PMCYP03540,Carex geyeri,Geyer's Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.003,1.0
35,S1,G5,4099,15053,PMCYP03540,Carex geyeri,Geyer's Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.003,1.0
36,S1,G5,7270,478606,NBMUS4S0T0,Mnium thomsonii,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
37,S1,G5,7270,478606,NBMUS4S0T0,Mnium thomsonii,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
38,S1,G4,4214,15169,PMCYP05020,Carex fraseriana,Fraser's Sedge,,,Y,,PE,PE,,,,,N,,sklugman,2/23/2022 3:49:19 PM,SNAME Change,Name changes from the Fall 2021 VPTC Meeting,U22GRU01: Steve Grund,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.041,0.2
39,S1,G5,3485,14411,PDRAN080Y0,Clematis viorna,Vase-vine Leather-flower,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.021,0.111111111111
40,S1,G5,3485,14411,PDRAN080Y0,Clematis viorna,Vase-vine Leather-flower,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.021,0.111111111111
41,S1,G5?,4276,15472,PMORC2B0P0,Spiranthes ovalis,October Ladies'-tresses,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.016,0.2
42,S1,G5,6883,21533,PPEQU01080,Equisetum scirpoides,Dwarf Scouring-rush,,,Y,,PE,PE,1272067200.0,"PE: 2010-04-24, VPTC-RPF",,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,1.0
43,S1,G5,6883,21533,PPEQU01080,Equisetum scirpoides,Dwarf Scouring-rush,,,Y,,PE,PE,1272067200.0,"PE: 2010-04-24, VPTC-RPF",,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,1.0
44,S1,G5,4786,15765,PMPOT03010,Potamogeton alpinus,Northern Pondweed,,,Y,,PX,PE,1428710400.0,Previously DL.,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.5
45,S1,G5,4786,15765,PMPOT03010,Potamogeton alpinus,Northern Pondweed,,,Y,,PX,PE,1428710400.0,Previously DL.,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.5
46,S1,G5,2923,13818,PDFAB1P0K0,Galactia regularis,Eastern Milk-pea,,,Y,,PX,PE,1618617600.0,2021-11-29: Changed from PX to PE. New population discovered in 2020 (U21GRU06 and see U21CMN01).,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,1.0
47,S1,G5,2923,13818,PDFAB1P0K0,Galactia regularis,Eastern Milk-pea,,,Y,,PX,PE,1618617600.0,2021-11-29: Changed from PX to PE. New population discovered in 2020 (U21GRU06 and see U21CMN01).,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,1.0
48,S1,G5,2234,13255,PDAST8P1M0,Solidago rigida,Hard-leaved Goldenrod,,,Y,,TU,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.014,0.1
49,S1,G5,2234,13255,PDAST8P1M0,Solidago rigida,Hard-leaved Goldenrod,,,Y,,TU,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.014,0.1
50,S1,G5,3043,13957,PDGER02040,Geranium bicknellii,Cranesbill,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.014,0.142857142857
51,S1,G5,3043,13957,PDGER02040,Geranium bicknellii,Cranesbill,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.014,0.142857142857
52,S1,G4,3281,14198,PDOLE040F0,Fraxinus quadrangulata,Blue Ash,,,Y,,N,PE,1207958400.0,"2008-04-12, VPTC",,,N,,,,,,,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.004,
53,S1,G5,6887,21546,PMORC1Y150,Platanthera aquilonis,Northern Green Orchid,,,Y,,PE,PE,1272067200.0,"PE: 2010-04-24, VPTC-RPF",,,Y,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.005,0.125
54,S1,G5,6887,21546,PMORC1Y150,Platanthera aquilonis,Northern Green Orchid,,,Y,,PE,PE,1272067200.0,"PE: 2010-04-24, VPTC-RPF",,,Y,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.005,0.125
55,S1,G5,4043,14994,PMCYP03160,Carex atherodes,Awned Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.004,0.5
56,S1,G5,4043,14994,PMCYP03160,Carex atherodes,Awned Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.004,0.5
57,S1,G5,3547,14478,PDROS05070,Amelanchier humilis,Serviceberry,,,Y,,TU,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.0526315789474
58,S1,G5,3547,14478,PDROS05070,Amelanchier humilis,Serviceberry,,,Y,,TU,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.0526315789474
59,S1,G4,4132,15086,PMCYP037T0,Carex lupuliformis,False Hop Sedge,,,Y,,TU,PE,1112400000.0,,,,N,,,,,,,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.035,0.0833333333333
60,S1,G5T5,7107,22274,PDBET01083,Alnus crispa,Mountain Alder,,,,,N,,,,,,N,,sklugman,2/27/2022 4:02:50 PM,SNAME Change,PA moved to narrower concept.  EOR moved to this EST from PDBET01080.,U22GRU01: Steve Grund,28-Feb-22,T5,S1,in biotics,T5,S1,0.6,0.0,1.0
61,S1,GNA,4926,15906,PPLYC03050,Lycopodiella x copelandii,,,,W,,N,SP,1255219200.0,"Special Population, VPTC 2009-10-11",,,N,,,,,,,28-Feb-22,GNA,S1,in biotics,GNA,S1,0.6,0.026,
62,S1,G5T4?,3705,14627,PDROS1Q023,Spiraea corymbosa,Dwarf Spiraea,,,Y,,PT,PE,1507939200.0,2017-10-14: PE (VPTC),,,N,,,,,,,28-Feb-22,T4,S1,in biotics,T4,S1,0.7,0.085,0.25
63,S1,G5,4226,15418,PMORC04010,Arethusa bulbosa,Dragon's Mouth,,,Y,,PE,PE,,,,,Y,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.041,0.333333333333
64,S1,G5,4226,15418,PMORC04010,Arethusa bulbosa,Dragon's Mouth,,,Y,,PE,PE,,,,,Y,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.041,0.333333333333
65,S1,G3,4884,15864,PPDRY0D010,Gymnocarpium appalachianum,Appalachian Oak Fern,,,Y,,TU,PE,,,,,N,,,,,,,28-Feb-22,G3,S1,in biotics,G3,S1,0.9,0.0,0.25
66,S1,G5,2842,13737,PDERI0R050,Lyonia mariana,Stagger-bush,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.022,0.25
67,S1,G5,2842,13737,PDERI0R050,Lyonia mariana,Stagger-bush,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.022,0.25
68,S1,G5,4867,15847,PPDRY07080,Cystopteris tennesseensis,Bladder Fern,,,Y,,N,PE,1272067200.0,"PE: 2010-04-24, VPTC-RPF.  TURF: 1999-05-01, VPTC",,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.333333333333
69,S1,G5,4867,15847,PPDRY07080,Cystopteris tennesseensis,Bladder Fern,,,Y,,N,PE,1272067200.0,"PE: 2010-04-24, VPTC-RPF.  TURF: 1999-05-01, VPTC",,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.333333333333
70,S1,G5,4381,15276,PMIRI09060,Iris cristata,Crested Dwarf Iris,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.016,0.25
71,S1,G5,4381,15276,PMIRI09060,Iris cristata,Crested Dwarf Iris,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.016,0.25
72,S1,G4G5,3744,14666,PDRUB1T0A0,Houstonia canadensis,Fringed Bluets,,,Y,,,PE,1365811200.0,VPTC: 2013-04-13,,,N,,,,,,,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.056,1.0
73,S1,G5T4,6889,21552,PMORC1Y0K1,Platanthera macrophylla,Large Roundleaf Orchid,,,Y,,,PE,1272067200.0,Formerly included in EST as Platanthera orbiculata var. macrophylla,,,Y,EXCLUDE. DCNR Spreadsheet 2018-12-14: Needs more research.,,,,,,28-Feb-22,T4,S1,in biotics,T4,S1,0.7,0.061,
74,S1,G3G5,7400,478738,NBMUS1A0L0,Imbribryum gemmiparum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G4,S1,,G4,S1,0.7,0.0,
75,S1,G5,4571,15538,PMPOA1D020,Chasmanthium laxum,Slender Sea-oats,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.003,0.5
76,S1,G5,4571,15538,PMPOA1D020,Chasmanthium laxum,Slender Sea-oats,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.003,0.5
77,S1,G4,3063,13977,PDGRO04010,Itea virginica,Virginia Willow,,,Y,,PX,PE,,,,,N,,,,,,,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.004,1.0
78,S1,G5T5?,6891,21558,PMORC1Y0B2,Platanthera huronensis,Huron Green Orchid,,,Y,,PE,PE,1272067200.0,Formerly in EST as Platanthera hyperborea var huronensis,,,Y,,,,,,,28-Feb-22,T5,S1,in biotics,T5,S1,0.6,0.009,1.0
79,S1,GNR,7595,478935,NBMUSA2050,Syntrichia rupicola,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,GNR,S1,,GNR,S1,0.6,0.0,
80,S1,G5,7287,478624,NBMUS1Q030,Cirriphyllum piliferum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
81,S1,G5,7287,478624,NBMUS1Q030,Cirriphyllum piliferum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
82,S1,G5,2134,13031,PDASTEB0U0,Eurybia spectabilis,Low Showy Aster,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.017,
83,S1,G5,2134,13031,PDASTEB0U0,Eurybia spectabilis,Low Showy Aster,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.017,
84,S1,G5,4483,15380,PMLIL1F020,Melanthium virginicum,Virginia Bunchflower,,,Y,,N,PE,1238803200.0,RPF: 2009-04-04,,,N,,sklugman,2/23/2022 3:57:28 PM,SNAME Change,Name changes from the Fall 2021 VPTC Meeting,U22GRU01: Steve Grund,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.06,0.0625
85,S1,G5,4483,15380,PMLIL1F020,Melanthium virginicum,Virginia Bunchflower,,,Y,,N,PE,1238803200.0,RPF: 2009-04-04,,,N,,sklugman,2/23/2022 3:57:28 PM,SNAME Change,Name changes from the Fall 2021 VPTC Meeting,U22GRU01: Steve Grund,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.06,0.0625
86,S1,G5,7205,478540,NBMUS6Z0C0,Sphagnum flavicomans,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
87,S1,G5,7205,478540,NBMUS6Z0C0,Sphagnum flavicomans,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
88,S1,G5,4622,15594,PMPOA2D080,Echinochloa walteri,Walter's Barnyard-grass,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.004,0.125
89,S1,G5,4622,15594,PMPOA2D080,Echinochloa walteri,Walter's Barnyard-grass,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.004,0.125
90,S1,G5,1992,12879,PDAPI0P010,Conioselinum chinense,Hemlock-parsley,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.061,0.333333333333
91,S1,G5,1992,12879,PDAPI0P010,Conioselinum chinense,Hemlock-parsley,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.061,0.333333333333
92,S1,G3?,6166,19209,NBHEP2A050,Nardia lescurii,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G3,S1,,G3,S1,0.9,0.0,
93,S1,G5T5?,7678,479033,PMALI04041,Sagittaria calycina var. calycina,,,,Y,,N,PE,1493424000.0,,,,N,,,,,,,28-Feb-22,T5,S1,in biotics,T5,S1,0.6,0.0,1.0
94,S1,G5,7364,478702,NBMUS1A1A0,Ptychostomum turbinatum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
95,S1,G5,7364,478702,NBMUS1A1A0,Ptychostomum turbinatum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
96,S1,G5,4803,15782,PMPOT030R0,Potamogeton obtusifolius,Blunt-leaved Pondweed,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.005,0.25
97,S1,G5,4803,15782,PMPOT030R0,Potamogeton obtusifolius,Blunt-leaved Pondweed,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.005,0.25
98,S1,G5,3439,14363,PDPOR05020,Montia chamissoi,Chamisso's Miner's-lettuce,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.5
99,S1,G5,3439,14363,PDPOR05020,Montia chamissoi,Chamisso's Miner's-lettuce,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.5
100,S1,G4G5,7348,478685,NBMUS1A0U0,Imbribryum miniatum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G4,S1,,G4,S1,0.7,0.0,
101,S1,GNA,4903,15883,PPEQU010F0,Equisetum x ferrissii,Scouring-rush,,,Y,,N,PE,,,,,N,,,,,,,28-Feb-22,GNA,S1,in biotics,GNA,S1,0.6,0.0,0.333333333333
102,S1,G5,3725,14647,PDRUB0N160,Galium labradoricum,Labrador Marsh Bedstraw,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.025,0.2
103,S1,G5,3725,14647,PDRUB0N160,Galium labradoricum,Labrador Marsh Bedstraw,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.025,0.2
104,S1,G5,7401,478739,NBMUS49010,Leskeella nervosa,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
105,S1,G5,7401,478739,NBMUS49010,Leskeella nervosa,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
106,S1,G5,7626,478968,NBMUS7E030,Thelia lescurii,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
107,S1,G5,7626,478968,NBMUS7E030,Thelia lescurii,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
108,S1,G4,4705,15680,PMPOA4K2Z0,Panicum longifolium,Long-leaf Panic-grass,,,Y,,TU,PE,910915200.0,"UTF: 1998-11-13, VPTC",,,N,,,,,,,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.0,0.333333333333
109,S1,G5,2115,13010,PDASTE9020,Oclemena nemoralis,Bog Aster,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.044,0.333333333333
110,S1,G5,2115,13010,PDASTE9020,Oclemena nemoralis,Bog Aster,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.044,0.333333333333
111,S1,G5,4324,15216,PMCYP091V0,Eleocharis tuberculosa,Long-tubercled Spike-rush,,,Y,,PX,PE,1238803200.0,RPF: 2009-04-04,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,1.0
112,S1,G5,4324,15216,PMCYP091V0,Eleocharis tuberculosa,Long-tubercled Spike-rush,,,Y,,PX,PE,1238803200.0,RPF: 2009-04-04,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,1.0
113,S1,G5,6162,19205,NBHEP220D0,Marsupella sphacelata,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
114,S1,G5,6162,19205,NBHEP220D0,Marsupella sphacelata,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
115,S1,G4G5,4336,15229,PMCYP0N070,Rhynchospora capillacea,Capillary Beaked-rush,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.02,0.25
116,S1,G5,3515,14443,PDRAN0L270,Ranunculus pusillus,Spearwort,,,Y,,N,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.013,0.333333333333
117,S1,G5,3515,14443,PDRAN0L270,Ranunculus pusillus,Spearwort,,,Y,,N,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.013,0.333333333333
118,S1,G5,4417,15314,PMJUN011Y0,Juncus militaris,Bayonet Rush,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.035,0.111111111111
119,S1,G5,4417,15314,PMJUN011Y0,Juncus militaris,Bayonet Rush,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.035,0.111111111111
120,S1,G5,2480,13367,PDBRA06170,Borodinia missouriensis,Missouri Rock-cress,,,Y,,PE,PE,,,,,N,,sklugman,2/23/2022 3:28:21 PM,SNAME Change,Name changes from the Fall 2021 VPTC Meeting,U22GRU01: Steve Grund,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.012,0.333333333333
